sector,category,category_name,source,source_name,subsource,subsource_name,gas_groups,source_total_flag,memo_item,ipcc_proj_sector,notes
Agriculture,AgSoils,,AgSoils,Agricultural Soils,,,N2O,TRUE,,,
Agriculture,Enteric,,Enteric,Enteric Fermentation,,,CH4,TRUE,,,
Agriculture,Manure,,Manure,Manure Management,,,"CH4, N2O",TRUE,,,
Agriculture,Rice,,Rice,Rice,,,CH4,TRUE,,,
Agriculture,OtherAg,,OtherAg,Other Agriculture Emissions,,,"CH4, N2O",TRUE,,,
Energy,Biomass,,Biomass,Biomass,Biomass,Biomass,"CH4, N2O",TRUE,TRUE,,
Energy,Biofuel,,Biomass,,Biofuels,,"CH4, N2O",,TRUE,,
Energy,Charcoal,,Biomass,,Charcoal,,"CH4, N2O",,TRUE,,
Energy,Wood,,Biomass,,Wood,,"CH4, N2O",,TRUE,,
Energy,CoalMining,,CoalMining,Coal Mining,,,CH4,TRUE,,,
Energy,SurfaceMining,,CoalMining,,Surface,Surface Coal Mining,CH4,,,,
Energy,UndergroundMining,,CoalMining,,Under,Underground Coal Mining,CH4,,,,
Energy,NGO,,NGO,Natural Gas and Oil Systems,,Gas Production & Processing,CH4,TRUE,,,
Energy,NGSys,,NGO,,Natural Gas Systems,Natural Gas Systems,CH4,,,,
Energy,NGExplorationProduction,,NGO,,GasProduct,Natural Gas Exploration and Production,CH4,,,,
Energy,NGTSD,,NGO,,GasTSD,"Gas Transmission, Storage, and Distribution",CH4,,,,
Energy,PetSys,,NGO,,Petroleum Systems,Petroleum Systems,CH4,,,,
Energy,PetExplorationProduction,,NGO,,OilProduct,Oil Production,CH4,,,,
Energy,PetRefining,,NGO,,OilRefining,Oil Refining,CH4,,,,
Energy,StatMob,,StatMob,Stationary and Mobile Combustion,,Stationary Source Combustion,"CH4, N2O",TRUE,,,
Energy,MobileComb,,StatMob,,Mobile,Mobile Source Combustion,"CH4, N2O",,,,
Energy,StationaryComb,,StatMob,,Stationary,Stationary Source Combustion,"CH4, N2O",,,,
Energy,OtherEnergy,,OtherEnergy,Other Energy Emissions,,,"CH4, N2O",TRUE,,,
IPPU,NitricAdipic,,NitricAdipic,Nitric and Adipic Acid Production,,,N2O,TRUE,,,
IPPU,Adipic,,NitricAdipic,,Adipic,Adipic Acid Production,N2O,,,,
IPPU,Nitric,,NitricAdipic,,Nitric,Nitric Acid Production,N2O,,,,
IPPU,Aluminum,,Aluminum,Aluminum Production,,,PFCs,TRUE,,,
IPPU,EPS,,EPS,Electric Power Systems,,,SF6,TRUE,,,
IPPU,Electronics,,Electronics,Electronics Manufacturing,,,"HFCs, PFCs, SF6, NF3",TRUE,,,
IPPU,Semi,,Electronics,,Semi,Semiconductor Production,"HFCs, PFCs, SF6, NF3",,,,
IPPU,PV,,Electronics,,PV,Photovoltaics Production,"HFCs, PFCs, SF6, NF3",,,,
IPPU,FPD,,Electronics,,FlatPanel,TFT Flat Panel Display,"HFCs, PFCs, SF6, NF3",,,,
IPPU,HCFC22,,HCFC22,HCFC-22 Production,,,HFCs,TRUE,,,
IPPU,Magnesium,,Magnesium,Magnesium Production,,,SF6,TRUE,,,
IPPU,ODSSubs,,ODSSubs,Use of Substitutes for Ozone-Depleting Substances,,,HFCs,TRUE,,,
IPPU,RefAC,,ODSSubs,,RefAC,Refrigeration / Air Conditioning,HFCs,,,,
IPPU,Foams,,ODSSubs,,Foams,Foam Blowing,HFCs,,,,
IPPU,Solvents,,ODSSubs,,Solvents,Solvents,HFCs,,,,
IPPU,Aerosols,,ODSSubs,,Aerosols,MDI Aerosols,HFCs,,,,
IPPU,FireExt,,ODSSubs,,FireExt,Fire Extinguishing,HFCs,,,,
IPPU,Cement,,Cement,Cement Production,,,,TRUE,,,May have been rolled up to othermineral in previous version
IPPU,LimeProd,,LimeProd,Lime Production,,,,TRUE,,,May have been rolled up to othermineral in previous version
IPPU,GlassProd,,GlassProd,Glass Production,,,,TRUE,,,May have been rolled up to othermineral in previous version
IPPU,OtherMineral,,OtherMineral,Other Mineral Industrial Processes Sources,,,,TRUE,,,
IPPU,Ammonia,,Ammonia,Ammonia Production,,,"CH4, N2O",TRUE,,,May have been rolled up to otherchemical in previous version
IPPU,Carbide,,Carbide,Carbide Production,,,CH4,TRUE,,,
IPPU,CarbideSilicon,,Carbide,,SiliconCarb,Silicon Carbide,CH4,,,,
IPPU,CarbideCalcium,,Carbide,,CalciumCarb,Calcium Carbide,CH4,,,,
IPPU,OtherChemical,,OtherChemical,Other Chemical Industrial Processes Sources,,,"HFCs, PFCs, SF6, NF3",TRUE,,,
IPPU,IronSteel,,IronSteel,Iron and Steel Production,,,CH4,TRUE,,,May have been rolled up to othermetal in previous version
IPPU,Ferroalloys,,Ferroalloys,Ferroalloys Production,,,CH4,,,,May have been rolled up to othermetal in previous version
IPPU,OtherMetal,,OtherMetal,Other Metal Industrial Processes Sources,,,"CH4, N2O, HFCs",TRUE,,,May have been rolled up to othermetal in previous version
IPPU,OtherIPPU,,OtherIPPU,Other Industrial Process Emissions,,,"CH4, N2O",TRUE,,,
Waste,Wastewater,,Wastewater,Wastewater and Human Sewage,,,"CH4, N2O",TRUE,,,
Waste,Landfills,,Landfills,Landfills,,,CH4,TRUE,,,
Waste,LandfillsMSW,,Landfills,,MSW,MSW Waste Disposal,CH4,,,,
Waste,LandfillsIndustrial,,Landfills,,Industrial,Industrial Waste Disposal,CH4,,,,
Waste,OtherWaste,,OtherWaste,Other Waste Emissions,,,"CH4, N2O",TRUE,,,
